account_id,LIMIT_BAL,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,action,increase_pct,proposed_limit,pd,risk_band,current_ead,proposed_ead,current_expected_loss,proposed_expected_loss,incremental_contribution,risk_adjusted_return,reason_codes,policy_checks
LIQ-83C83BE5FB,50000.0,2.0,2.0,2.0,2.0,2.0,-2.0,200.0,200.0,200.0,200.0,-200.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,Freeze automatic increases,0.0,50000.0,0.5892145305255125,Very high,37550.0,37550.0,14381.253653801446,14381.253653801446,0.0,0.0,Recent payment deterioration|Repeated delinquency,"{""within_maximum_increase"":true,""within_account_exposure"":true,""within_expected_loss_ceiling"":false,""meets_profitability_hurdle"":false,""payment_history_eligible"":false,""not_overextended"":true}"
LIQ-64BD25E309,50000.0,0.0,0.0,0.0,-2.0,-2.0,-2.0,43140.0,43496.0,0.0,0.0,0.0,0.0,2500.0,0.0,0.0,0.0,0.0,0.0,Increase 30%,0.3,65000.0,0.1475534402707806,Moderate,48285.0,59535.0,4631.001611258517,5709.986143238601,3454.7990680199155,0.30709325049065916,High utilization with low estimated risk,"{""within_maximum_increase"":true,""within_account_exposure"":true,""within_expected_loss_ceiling"":true,""meets_profitability_hurdle"":true,""payment_history_eligible"":true,""not_overextended"":true}"
LIQ-C47956DC23,200000.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,6981.0,678.0,1287.0,54531.0,55229.0,56836.0,1000.0,1350.0,54531.0,2200.0,2500.0,2300.0,No change,0.0,200000.0,0.05943009587904968,Moderate,151745.25,151745.25,5861.852591848737,5861.852591848737,0.0,0.0,Strong repayment consistency|Low utilization provides no evidence of additional need|Incremental return below profitability hurdle,"{""within_maximum_increase"":true,""within_account_exposure"":true,""within_expected_loss_ceiling"":true,""meets_profitability_hurdle"":false,""payment_history_eligible"":true,""not_overextended"":true}"
LIQ-631D055EA3,210000.0,2.0,0.0,0.0,0.0,2.0,0.0,7474.0,8625.0,3511.0,4950.0,4727.0,5494.0,1500.0,1500.0,1500.0,0.0,1000.0,1000.0,Freeze automatic increases,0.0,210000.0,0.4878476417888556,Very high,159368.5,159368.5,50535.905485277704,50535.905485277704,0.0,0.0,Recent payment deterioration|Repeated delinquency,"{""within_maximum_increase"":true,""within_account_exposure"":true,""within_expected_loss_ceiling"":false,""meets_profitability_hurdle"":false,""payment_history_eligible"":false,""not_overextended"":true}"
LIQ-7B715E23DA,30000.0,0.0,0.0,0.0,0.0,0.0,2.0,7204.0,7453.0,7098.0,10148.0,22070.0,23182.0,1200.0,1114.0,4000.0,13000.0,2000.0,0.0,No change,0.0,30000.0,0.22951520164584235,High,24301.0,24301.0,3625.3417948771503,3625.3417948771503,0.0,0.0,Expected loss exceeds policy ceiling|Incremental return below profitability hurdle|Recent payment deterioration,"{""within_maximum_increase"":true,""within_account_exposure"":true,""within_expected_loss_ceiling"":false,""meets_profitability_hurdle"":false,""payment_history_eligible"":false,""not_overextended"":true}"
LIQ-72FE19B76A,70000.0,0.0,0.0,0.0,0.0,0.0,0.0,46222.0,47650.0,48867.0,47808.0,43022.0,44077.0,2500.0,2300.0,2300.0,2000.0,1900.0,3000.0,Increase 30%,0.3,91000.0,0.09354017575010698,Moderate,64055.5,79805.5,3894.6457730446355,4852.263322286356,3645.6147307582787,0.23146760195290658,Strong repayment consistency|High utilization with low estimated risk,"{""within_maximum_increase"":true,""within_account_exposure"":true,""within_expected_loss_ceiling"":true,""meets_profitability_hurdle"":true,""payment_history_eligible"":true,""not_overextended"":true}"
LIQ-04957A97AA,50000.0,2.0,0.0,0.0,0.0,-2.0,-2.0,48297.0,50487.0,51400.0,0.0,0.0,0.0,3000.0,2400.0,0.0,0.0,0.0,0.0,Freeze automatic increases,0.0,50000.0,0.6613452732041766,Very high,49574.25,49574.25,21310.702341592398,21310.702341592398,0.0,0.0,Recent payment deterioration,"{""within_maximum_increase"":true,""within_account_exposure"":true,""within_expected_loss_ceiling"":false,""meets_profitability_hurdle"":false,""payment_history_eligible"":false,""not_overextended"":true}"
LIQ-F274743901,110000.0,0.0,0.0,0.0,0.0,0.0,0.0,111576.0,102942.0,99241.0,73151.0,64731.0,66025.0,4100.0,3680.0,2511.0,2350.0,2370.0,2610.0,Increase 30%,0.3,143000.0,0.14871105564731527,Moderate,110000.0,135144.0,10632.84047878304,13063.314487860504,9667.436230922536,0.38448282814677603,Strong repayment consistency|High utilization with low estimated risk,"{""within_maximum_increase"":true,""within_account_exposure"":true,""within_expected_loss_ceiling"":true,""meets_profitability_hurdle"":true,""payment_history_eligible"":true,""not_overextended"":true}"
LIQ-9ACE32CFD8,380000.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,767.0,4090.0,9471.0,1993.0,1164.0,767.0,4090.0,9476.0,1993.0,1164.0,3514.0,Manual review,0.0,380000.0,0.15478200277265788,High,285000.0,285000.0,28673.366013634874,28673.366013634874,0.0,0.0,Recent payment deterioration|Manual review required,"{""within_maximum_increase"":true,""within_account_exposure"":true,""within_expected_loss_ceiling"":true,""meets_profitability_hurdle"":false,""payment_history_eligible"":false,""not_overextended"":true}"
LIQ-F6D4D089F0,240000.0,-2.0,-2.0,-1.0,-1.0,-2.0,-2.0,0.0,0.0,2007.0,-40.0,-40.0,8091.0,0.0,2007.0,40.0,0.0,8131.0,0.0,No change,0.0,240000.0,0.15543935356321384,High,180000.0,180000.0,18186.404366896022,18186.404366896022,0.0,0.0,Low utilization provides no evidence of additional need|Incremental return below profitability hurdle,"{""within_maximum_increase"":true,""within_account_exposure"":true,""within_expected_loss_ceiling"":true,""meets_profitability_hurdle"":false,""payment_history_eligible"":true,""not_overextended"":true}"
